Day,January,February,March,April,May,June,July,August,September,October,November,December
11,0.0005302110023891154,0.0018729420386509783,5.853145433175577e-05,-0.004346748434588714,-0.00023195101048677,-0.0024130811858197937,-0.005450295065790602,0.0008209343139327495,-0.0020490802999387613,0.002340791983150657,0.00019158795439508267,0.0004821227836039983
12,0.0009550335716360252,0.004736466494214315,-0.00957235116974627,-0.001154297590484387,-0.0013899782500456969,-0.002829759775721341,0.00176415269681667,0.0015147156639658949,0.0010921031189600528,-0.0014151589622085296,-0.002486550133405588,-0.004369267590607629
13,0.00010104319421978007,0.0019210719576049705,0.00035907094145427274,0.0021707213817360018,0.0006984792381976428,-0.003410546184540994,0.0037621717999814066,0.0014871612531376888,-0.00019727489163479637,0.004970394599591315,-0.0019285241332721535,4.6731440326770824e-05
14,-0.00421018829370486,-0.001917850623028094,-0.00030671236956404517,-0.0021981536824001568,-0.0049123344456833435,-0.0022516978494395664,-0.00010591697564424265,-0.0011561016669765951,-0.002786237313309592,0.003059306039004722,0.002699007316215891,-0.0032533031123674946
15,-0.003111335021558126,0.002840821139597411,-0.0017799252625603297,-0.0002794223017935577,0.0022766397081483572,-0.001795484273344142,-0.0032718595923564237,-0.0001483855712860862,-0.0005115257151730176,-0.004735509822368634,0.00027032942656414716,-0.0009125037446221641
16,-0.0016229893939017064,0.0014862980477128738,0.0011336252218734565,0.0029711635043686803,0.003206387288531008,0.0007633078787331331,-0.0008763973495671282,-0.001492415766431128,0.000561567052902648,-0.0026542973773584335,-0.001209010671245126,0.007435093824155451
17,3.7825720211409595e-06,0.0040594335053450795,0.0034265149965489964,0.0007995384844585598,-0.0035375868866001055,0.003500218108677719,0.002925089787835864,0.0008353017274451592,-0.0025755128836974684,0.006512375532455852,-0.002624219033810589,-0.0034420527712587536
18,-0.0003797787146353313,-0.0004124313259811472,0.00047884900790688516,-0.001023081013247497,0.0046773538042474486,-0.002122611182326559,0.0015941471915979794,-0.003226924424607078,-0.0031413966414602797,-0.0018504737521751367,0.0032168772965143378,0.0007507885346120608
19,0.00031964904919750667,0.0003696558480785429,-0.00015810626374561973,0.0025284812624591473,-0.00611401742101707,-5.773608973175996e-05,-0.0008025840585896225,-0.0026512496858776165,0.004750013843137288,-0.0013647476994967506,-0.005940782402177841,0.002243742139674969
20,-0.006241308922520148,-0.0030022967327476943,0.001510214525119331,0.001609242586355202,-0.0004905354661700032,0.0004770629013409399,0.0005443981254176523,-0.0016421150968944304,-0.0017459793903279494,0.002214433308240093,-0.0036887859980150916,0.00030685369981805105
21,-0.003790479731434805,-0.002425016579448808,0.002251113813876951,-0.003048183356606497,-0.0008552791195224164,-0.0007257522978485208,0.001234255020418544,0.0007408621493138655,-0.003536868293673417,0.0009363405812008064,-0.0010482857428238753,0.003902233605397207
22,0.000630850066735319,-0.00036846471467662776,-0.0049465019990397666,0.0014339006897019278,0.0008305977805831272,-0.0018370334490146458,-0.003057301706946165,0.003409660727921285,-0.006017345430484369,-0.0034853810195199396,-0.00022011133465940728,0.0029291699851176542
23,-0.002873851098983619,-0.002509101234933946,-0.0003670994979219646,0.002801138516152744,-0.003977302000138122,-0.0017341010758981242,0.0013419701697975188,4.8717211691031025e-05,-0.004065794190378799,0.0014701291750633142,0.0004222074392735902,0.006413117566231755
24,0.0021060451172654,-0.006404619447097711,0.0035433525521689716,0.0013898534363775185,0.0006550592552681091,-0.00466063030033116,-0.004294753440441439,-0.00045839552935169004,-0.0009599828289517421,0.001295478132350239,0.007489496436388333,0.00116374669485039
25,-0.002037839927952635,0.004876842619953207,0.006929264849417061,-0.0018631353587300057,0.0009734669352082823,-0.0010680709080377548,0.0015652219179732578,6.069187536367534e-05,0.002909127587524656,-0.0020810223205919394,0.003019312846999651,
26,0.006519439455161915,0.001589678067341844,0.003229442808246357,0.0015843196672840143,0.0052934872962927685,-0.004419609518584479,0.00022735860935665114,-0.0020096281889932783,0.0012242209622005242,0.00019717470942678134,-0.006707270721166794,
27,-0.0040594653316508855,-0.004248119587763642,-0.0030895057055724106,-0.0006088408471367403,0.004760642216461484,0.001245776683027178,0.0015531118493366427,0.005553173912473407,0.005223173537038202,0.00030818125292986383,0.0015025434951384856,0.0007743984827132671
28,-0.002356821256318163,-0.006551666879418357,-0.0011029946840687786,0.0015505016591791257,0.002143590087511735,0.004220707583707715,-0.0005491030650862751,-0.0031450439572198357,0.0019313555741183736,0.0008002867278111335,0.001851639030096087,0.002984039526113998
29,-0.00033376235130997854,-0.00038692789047602876,0.0022539885458790236,0.003164138412013605,-0.004078608743279281,0.002994952788641063,0.0066715558768758445,-0.0009498818779434286,-0.003976757527484492,0.002783664901008903,-0.0002950291225537897,0.005849277558717877
30,-0.0024207088077641795,,0.0001424198447601546,-0.0025404800199974697,-0.002791285651306572,-0.0008372478397658586,0.0004136866248395581,0.0013506826085679772,-0.004225732768499341,2.120023804068825e-05,-0.002217715269575321,-0.0012761788054507222
31,-0.002418113851355939,,-0.0009244444788459867,,0.0004226503668979022,,0.0017066977602568604,0.0018999747126883734,,0.002327178037310224,,-0.0015875202436311828
